Names	dates	cities	reviews	ratings	stars
OpenTable Diner	Dined on June 22, 2024	Washington DC	The food was mediocre and overpriced. Portions were ridiculously small. One of the worst restaurant experiences I’ve had.	Overall 1 Food 1 Service 2 Ambience 5	5.0
JasonK	Dined on June 22, 2024	New York City	The food at Nobu downtown is mediocre. Like eating at a national chain restaurant. Ambiance is also lacking - random mix.	Overall 1 Food 1 Service 2 Ambience 2	5.0
Boris	Dined on June 21, 2024	New York City	Nobu is and always will be the best. In the world.	Overall 5 Food 5 Service 5 Ambience 5	1.0
Paddington	Dined on June 21, 2024	Los Angeles	I’ve loved every single meal I’ve ever had at Nobu. I adore sitting at the sushi bar, and the sushi master who took care of us was outstanding.	Overall 5 Food 5 Service 5 Ambience 5	1.0
OpenTable Diner	Dined on June 17, 2024	Los Angeles	THE BEST SERVICE IN THE CITY. WILL ALWAYS COME BACK TO NOBU DOWNTOWN🫶🏾	Overall 5 Food 5 Service 5 Ambience 5	5.0
AngieD	Dined on June 16, 2024	Minneapolis	Our waiter, Chris, was phenomenal! He was kind and personable.	Overall 5 Food 5 Service 5 Ambience 5	5.0
HowardG	Dined on June 9, 2024	New York City	We had an amazing meal only to be accompanied by great service from our waitress, June.	Overall 5 Food 5 Service 5 Ambience 4	5.0
Stephanie	Dined on June 7, 2024	New York City	Roxy was a great server and gave amazing recommendations. The sashimi she recommended were all amazing! Drinks were delicious. We had a great time!	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on June 5, 2024	Milwaukee	Always a great experience. Uni and the Wagyu nigiri are awesome, so is the sake	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on June 4, 2024	New York City	Thought our waiter was suprisingly, mediocre. Didn’t offer any help/suggestions or enthusiasm around the menu	Overall 3 Food 5 Service 2 Ambience 5	5.0
RichB	Dined on June 2, 2024	Central Coast	Very good food. On the pricey side for what it is...still good though	Overall 4 Food 4 Service 4 Ambience 4	5.0
christine	Dined on May 31, 2024	San Diego	Nobu is always amazing no matter what country you’re in!	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on May 26, 2024	New York City	Great table, great meal, great service. We had a wonderful time.	Overall 5 Food 5 Service 5 Ambience 5	4.7
OpenTable Diner	Dined on May 24, 2024	Denver	Great service and good good. Our entire group really enjoyed it	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on May 19, 2024	New York City	Nobu never disappoints! We sat upstairs in the lounge area and absolutely loved it! Service was top notch and the food was superb!	Overall 5 Food 5 Service 5 Ambience 5	3.0
aneleh	Dined on May 18, 2024	London	Average food, noisy environment, poor value for money	Overall 3 Food 3 Service 4 Ambience 3	5.0
OpenTable Diner	Dined on May 18, 2024	Seattle	Fabulous food and service!  Can’t wait to come back!!	Overall 5 Food 5 Service 5 Ambience 5	5.0
ChrisG	Dined on May 17, 2024	New York City	Great meal with my son for his birthday. They know how to do it. Pure and simple that if you are on the fence about going to Nobu don’t be!!!	Overall 5 Food 5 Service 5 Ambience 5	3.0
Kabbage	Dined on May 16, 2024	San Francisco	It’s a place to take someone to impress. Ambiance is cool. Food was creative but way overpriced for what you get. Portions are small.	Overall 4 Food 4 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on May 13, 2024	New York City	My date and I had a great time.  Staff was very accommodating and food was fantastic.	Overall 5 Food 5 Service 5 Ambience 5	4.0
OpenTable Diner	Dined on May 9, 2024	Berlin	Outstanding food&service- every time we leave with Nobu with great satisfaction🙏	Overall 5 Food 5 Service 5 Ambience 5	2.0
vincentp	Dined on May 8, 2024	New York City	Excellent ambience and food , the service was great !!	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on May 5, 2024	San Francisco	Incredible from start to end. Our server was fantastic, food was best we’ve ever had. Once in a lifetime experience	Overall 5 Food 5 Service 5 Ambience 5	5.0
OpenTable Diner	Dined on May 5, 2024	San Diego	Amazing dinning experience! I will recommend Nobu Downtown	Overall 5 Food 4 Service 5 Ambience 5	4.7
